Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,clust
97752,0,32500,2500,2500,43300,26,2077,4,6935,0
20856,0,2500,2500,2500,5250,4,250,1,6938,0
96522,0,50000,2500,2500,61105,19,0,0,6924,0
28495,0,32500,2500,2500,49442,15,0,0,6912,0
51890,0,32500,2500,2500,48963,16,0,0,6910,0
13958,0,2500,2500,2500,4291,5,0,0,6905,0
23354,0,17500,2500,2500,10447,5,0,0,6896,0
120576,0,50000,2500,2500,58831,23,250,2,6896,0
59763,0,17500,2500,2500,33772,20,100,1,7907,0
19221,0,2500,2500,2500,4655,8,500,1,7896,0
123759,0,32500,2500,2500,50572,23,2500,5,7865,0
59990,0,17500,2500,2500,27878,17,0,0,7854,0
10470,0,32500,2500,2500,38094,26,0,0,7840,0
70312,0,17500,2500,2500,34678,24,500,1,6875,0
118531,0,32500,2500,2500,44577,38,0,0,6868,0
75971,0,32500,2500,2500,34339,14,0,0,6869,0
38077,0,17500,2500,2500,34024,8,0,0,6837,0
19918,0,2500,2500,2500,17601,11,0,0,6863,0
53914,0,17500,2500,2500,33767,45,5550,29,6826,0
83237,0,32500,2500,2500,35287,18,0,0,6837,0
47457,0,17500,2500,2500,12621,16,0,0,7766,0
111157,0,32500,2500,2500,32883,19,0,0,7771,0
49238,0,32500,2500,2500,38037,18,0,0,7801,0
38896,0,50000,2500,2500,76988,16,556,1,7771,0
4340,0,2500,2500,2500,32685,5,0,0,7733,0
35418,0,50000,2500,2500,58557,18,900,3,6813,0
20508,0,2500,2500,2500,22250,8,1250,5,6794,0
78629,0,32500,2500,2500,36679,25,0,0,6817,0
185549,0,50000,2500,2500,110859,39,2950,16,6778,0
102062,0,32500,2500,2500,44247,16,0,0,6758,0
25076,1182,50000,2500,2500,57203,14,0,0,6750,0
3734,0,50000,2500,2500,61096,18,150,2,6760,0
96627,1182,2500,2500,17500,49059,26,2300,9,6738,0
