,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,clust
0,28143,0,2500,2500,2500,174,1,0,0,7000,2
1,19244,0,2500,2500,2500,215,2,0,0,6968,2
2,41354,0,2500,2500,2500,4123,4,0,0,7034,2
3,14776,0,2500,2500,2500,500,1,0,0,6952,2
4,97752,0,32500,2500,2500,43300,26,2077,4,6935,1
5,16420,0,2500,2500,2500,0,0,0,0,6942,2
6,84914,0,17500,2500,2500,27482,25,0,0,6994,2
7,20856,0,2500,2500,2500,5250,4,250,1,6938,2
8,443003,0,17500,5000,2500,1753,43,3850,12,6948,2
9,104860,0,17500,2500,2500,28426,28,1150,3,6931,2
10,40091,0,5000,2500,2500,7278,10,0,0,6959,2
11,96522,0,50000,2500,2500,61105,19,0,0,6924,1
12,43382,0,5000,2500,2500,11150,20,0,0,6924,2
13,43097,0,2500,2500,2500,3258,6,0,0,6918,2
14,17648,0,2500,2500,2500,0,0,0,0,6912,2
15,28495,0,32500,2500,2500,49442,15,0,0,6912,1
16,51890,0,32500,2500,2500,48963,16,0,0,6910,1
17,13958,0,2500,2500,2500,4291,5,0,0,6905,2
18,91473,0,17500,2500,2500,27408,17,0,0,6903,2
19,23354,0,17500,2500,2500,10447,5,0,0,6896,2
20,120576,0,50000,2500,2500,58831,23,250,2,6896,1
21,185681,2024,2500,2500,2500,13300,16,1800,9,6896,2
22,20584,0,2500,2500,2500,3450,11,3450,11,6884,2
23,66275,0,2500,2500,2500,2533,11,150,1,6884,2
24,205651,500,2500,2500,2500,4025,21,700,4,7932,2
25,20726,0,2500,2500,2500,1375,4,0,0,7924,2
26,18521,0,2500,2500,2500,1227,2,1227,2,7917,2
27,8828,0,2500,2500,2500,0,0,0,0,7914,2
28,59763,0,17500,2500,2500,33772,20,100,1,7907,2
29,19221,0,2500,2500,2500,4655,8,500,1,7896,2
30,177926,0,17500,2500,2500,20797,13,0,0,7886,2
31,10021,0,2500,2500,2500,0,0,0,0,7879,2
32,276571,0,32500,2500,2500,42044,23,0,0,7872,1
33,18047,0,2500,2500,2500,100,1,0,0,7868,2
34,43832,0,2500,2500,2500,0,0,0,0,7865,2
35,123759,0,32500,2500,2500,50572,23,2500,5,7865,1
36,23193,0,2500,2500,2500,650,4,550,3,7861,2
37,68666,0,2500,2500,2500,350,2,350,2,7861,2
38,59990,0,17500,2500,2500,27878,17,0,0,7854,2
39,2176,0,2500,2500,2500,0,0,0,0,7847,2
40,34616,0,2500,2500,2500,1750,4,500,1,7850,2
41,10470,0,32500,2500,2500,38094,26,0,0,7840,1
42,60313,0,2500,2500,2500,10000,26,3250,9,7829,2
43,619393,0,17500,2500,2500,15008,14,0,0,7819,2
44,121260,0,17500,2500,2500,18493,18,0,0,7808,2
45,288865,967,2500,2500,2500,23600,14,2000,4,6884,2
46,92336,0,5000,2500,2500,11214,6,0,0,6884,2
47,36924,0,2500,2500,2500,5900,6,300,2,6879,2
48,70312,0,17500,2500,2500,34678,24,500,1,6875,2
49,17051,0,2500,2500,2500,1150,4,1150,4,6868,2
50,108137,0,2500,2500,2500,6368,5,6368,5,6844,2
51,1300,0,2500,2500,2500,370,1,0,0,6868,2
52,118531,0,32500,2500,2500,44577,38,0,0,6868,1
53,121395,0,2500,2500,2500,4970,8,650,2,6889,2
54,38348,0,2500,2500,2500,0,0,0,0,6861,2
55,14448,0,2500,2500,2500,1625,6,0,0,6856,2
56,75971,0,32500,2500,2500,34339,14,0,0,6869,1
57,36298,0,2500,2500,2500,3100,5,600,3,6865,2
58,38077,0,17500,2500,2500,34024,8,0,0,6837,2
59,95118,0,17500,2500,2500,23188,23,2200,7,6865,2
60,134457,0,17500,2500,2500,15588,14,0,0,6861,2
61,19918,0,2500,2500,2500,17601,11,0,0,6863,2
62,10120,0,2500,2500,2500,0,0,0,0,6864,2
63,362642,0,2500,2500,2500,28079,8,0,0,6835,2
64,80250,0,2500,2500,2500,895,2,0,0,6833,2
65,53914,0,17500,2500,2500,33767,45,5550,29,6826,2
66,9375,0,2500,2500,2500,1750,7,0,0,6826,2
67,83237,0,32500,2500,2500,35287,18,0,0,6837,1
68,230715,0,17500,2500,2500,24047,12,0,0,6826,2
69,47457,0,17500,2500,2500,12621,16,0,0,7766,2
70,84409,5031,5000,2500,2500,15436,16,1150,4,7766,2
71,252386,0,32500,2500,2500,39787,13,0,0,7787,1
72,550367,0,17500,2500,2500,12500,13,50,1,7801,2
73,12646,0,2500,2500,2500,631,4,631,4,7787,2
74,123867,0,17500,2500,2500,25308,17,0,0,7759,2
75,129871,0,17500,2500,2500,15776,22,0,0,7752,2
76,109380,0,2500,2500,2500,7537,16,0,0,7749,2
77,111157,0,32500,2500,2500,32883,19,0,0,7771,1
78,49238,0,32500,2500,2500,38037,18,0,0,7801,1
79,38896,0,50000,2500,2500,76988,16,556,1,7771,1
80,4340,0,2500,2500,2500,32685,5,0,0,7733,2
81,88443,0,2500,2500,2500,1200,3,1200,3,6837,2
82,8454,0,2500,2500,2500,498,9,0,0,6821,2
83,61990,0,2500,2500,2500,1625,6,0,0,6833,2
84,24093,0,2500,2500,2500,1750,7,0,0,6819,2
85,35418,0,50000,2500,2500,58557,18,900,3,6813,1
86,40284,0,2500,2500,2500,7719,5,0,0,6827,2
87,609477,0,17500,2500,2500,21422,22,1200,8,6820,2
88,62553,0,5000,2500,2500,7672,16,700,1,6819,2
89,48433,0,2500,2500,2500,3500,4,500,1,6807,2
90,20508,0,2500,2500,2500,22250,8,1250,5,6794,2
91,2000,0,2500,2500,2500,2000,4,2000,4,6809,2
92,78629,0,32500,2500,2500,36679,25,0,0,6817,1
